B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.0,0.0,0.14190913730000002,0.0,0.1365030675,0.0,0.0,0.0,0.0,0.1451697128,0.1460674157,0.1468030691,0.0,0.1388463502,0.1384065373,0.1378958121,0.0,0.15044713310000002,0.0,0.1327207759,0.0,0.0
0.0,0.0,0.1422805247,0.0,0.0,0.14913232099999998,0.0,0.0,0.0,0.1353620147,0.0,0.0,0.1458859162,0.1466127401,0.1382441978,0.0,0.13831398279999998,0.1378091873,0.14437152949999998,0.1502079002,0.0,0.1331987891,0.1377396569,0.1600651112
0.0,0.1422805247,0.0,0.0100806452,0.0977822581,0.1056338028,0.0459363958,0.0397521941,0.0641025641,0.0,0.0,0.0,0.0892586989,0.0,0.0892137097,0.0892137097,0.0,0.0892586989,0.0953101362,0.0929387331,0.0,0.0,0.0,0.1533875339
0.0,0.0,0.0100806452,0.0,0.0,0.1045503792,0.0444220091,0.0,0.0,0.0,0.0,0.0711340206,0.0,0.0888888889,0.0897177419,0.0,0.0,0.0897629854,0.0943015633,0.0,0.0,0.1451612903,0.140625,0.0
0.14190913730000002,0.0,0.0977822581,0.0,0.0,0.0390032503,0.0943967693,0.07537429009999999,0.0,0.0885744235,0.0,0.0979381443,0.0887544125,0.08686868689999999,0.0816532258,0.0,0.0832072617,0.0821986889,0.0,0.0903426791,0.0926879506,0.0,0.138608871,0.0
0.0,0.14913232099999998,0.1056338028,0.1045503792,0.0390032503,0.0,0.0,0.08698060939999999,0.0,0.0943502825,0.0,0.0,0.0,0.0,0.0888407367,0.0,0.0,0.0883468835,0.0959349593,0.0933040615,0.0997782705,0.0,0.0,0.0
0.1365030675,0.0,0.0459363958,0.0444220091,0.0943967693,0.0,0.0,0.0,0.0642013354,0.0635170604,0.0779153767,0.0,0.0,0.0921382073,0.0926853707,0.0,0.0,0.0924242424,0.0,0.0,0.0,0.1495,0.132,0.1569048898
0.0,0.0,0.0397521941,0.0,0.07537429009999999,0.08698060939999999,0.0,0.0,0.0,0.0537345513,0.0644139388,0.0,0.0746803069,0.0747567844,0.074795082,0.0,0.07644628099999999,0.0,0.0803069054,0.079787234,0.0839050132,0.1370143149,0.1242331288,0.0
0.0,0.0,0.0641025641,0.0,0.0,0.0,0.0642013354,0.0,0.0,0.000524109,0.0623390005,0.0628865979,0.085171883,0.0,0.0,0.0,0.0856410256,0.0,0.0903027193,0.0,0.0906282183,0.0,0.1374358974,0.1584759801
0.0,0.1353620147,0.0,0.0,0.0885744235,0.0943502825,0.0635170604,0.0537345513,0.000524109,0.0,0.0,0.0,0.0828526481,0.0,0.0833333333,0.0833333333,0.0828092243,0.0838574423,0.08752620550000001,0.0885805763,0.0892857143,0.1504192872,0.1367924528,0.158281515
