B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.0,0.1439509954,0.14190913730000002,0.0,0.0,0.0,0.0,0.1348911312,0.1445720251,0.0,0.0,0.1468030691,0.0,0.0,0.0,0.0,0.14453524,0.15044713310000002,0.0,0.1327207759,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.14913232099999998,0.1369378474,0.12661498710000002,0.0,0.1353620147,0.0,0.0,0.1458859162,0.1466127401,0.1382441978,0.1387487386,0.0,0.1378091873,0.14437152949999998,0.1502079002,0.0,0.0,0.1377396569,0.0
0.0,0.0,0.0,0.0100806452,0.0977822581,0.0,0.0459363958,0.0397521941,0.0,0.0,0.0,0.0,0.0892586989,0.0888888889,0.0,0.0,0.0,0.0,0.0,0.0929387331,0.0942327497,0.0,0.0,0.0
0.1439509954,0.0,0.0100806452,0.0,0.0,0.0,0.0444220091,0.0387196696,0.061025641,0.0613207547,0.0,0.0,0.0892586989,0.0,0.0,0.0897177419,0.0897629854,0.0,0.0,0.0919003115,0.0,0.1451612903,0.140625,0.1528455285
0.14190913730000002,0.0,0.0977822581,0.0,0.0,0.0,0.0,0.0,0.0,0.0885744235,0.0,0.0,0.0,0.0,0.0,0.0816532258,0.0832072617,0.0,0.0932929904,0.0903426791,0.0926879506,0.1481854839,0.0,0.0
0.0,0.14913232099999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0976821192,0.0943502825,0.1064891847,0.1071032186,0.0,0.0,0.0888407367,0.0,0.0894308943,0.0,0.0959349593,0.0,0.0997782705,0.0,0.139219935,0.0
0.0,0.1369378474,0.0459363958,0.0444220091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921382073,0.0926853707,0.09300000000000001,0.0924242424,0.0924242424,0.0,0.0,0.0,0.1495,0.0,0.1569048898
0.0,0.12661498710000002,0.0397521941,0.0387196696,0.0,0.0,0.0,0.0,0.0,0.0537345513,0.0,0.0,0.0746803069,0.0747567844,0.074795082,0.0751533742,0.0,0.0754132231,0.0803069054,0.0,0.0839050132,0.0,0.0,0.1431705979
0.0,0.0,0.0,0.061025641,0.0,0.0976821192,0.0,0.0,0.0,0.000524109,0.0623390005,0.0,0.085171883,0.08427543679999999,0.0,0.0,0.0856410256,0.0,0.0903027193,0.0908141962,0.0906282183,0.0,0.0,0.1584759801
0.1348911312,0.1353620147,0.0,0.0613207547,0.0885744235,0.0943502825,0.0,0.0537345513,0.000524109,0.0,0.0609563847,0.0615141956,0.0828526481,0.0823714586,0.0833333333,0.0,0.0828092243,0.0,0.0,0.0,0.0892857143,0.0,0.0,0.158281515
