B_nihoa_A_2673,B_nihoa_B_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_unica_B_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_molokaiensis_B_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_brunnea_B_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_pilimauiensis_B_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,Neoconocephalus_sp_2673
0.0,0.0,0.14190913730000002,0.0,0.0,0.14936847890000002,0.0,0.1260460251,0.1381818182,0.1348911312,0.0,0.1451697128,0.0,0.0,0.0,0.1388463502,0.1384065373,0.1378958121,0.0,0.0,0.0,0.1327207759,0.0,0.1598901099
0.0,0.0,0.0,0.1442986882,0.1417759839,0.0,0.0,0.12661498710000002,0.1386036961,0.1353620147,0.1449200619,0.1455108359,0.0,0.1466127401,0.0,0.0,0.0,0.1378091873,0.14437152949999998,0.1502079002,0.1463917526,0.0,0.1377396569,0.0
0.14190913730000002,0.0,0.0,0.0100806452,0.0977822581,0.0,0.0,0.0397521941,0.0,0.0644654088,0.0,0.0731958763,0.0,0.0888888889,0.0892137097,0.0892137097,0.0892586989,0.0,0.0953101362,0.0929387331,0.0942327497,0.1456653226,0.0,0.0
0.0,0.1442986882,0.0100806452,0.0,0.0977822581,0.0,0.0,0.0387196696,0.0,0.0,0.0,0.0711340206,0.0,0.0888888889,0.0897177419,0.0897177419,0.0,0.0897629854,0.0943015633,0.0919003115,0.0932028836,0.1451612903,0.0,0.1528455285
0.0,0.1417759839,0.0977822581,0.0977822581,0.0,0.0390032503,0.0943967693,0.0,0.0,0.0885744235,0.0,0.0979381443,0.0,0.08686868689999999,0.0816532258,0.0816532258,0.0832072617,0.0821986889,0.0932929904,0.0903426791,0.0926879506,0.0,0.0,0.0
0.14936847890000002,0.0,0.0,0.0,0.0390032503,0.0,0.1014650027,0.08698060939999999,0.0976821192,0.0,0.1064891847,0.0,0.0,0.0890336591,0.0888407367,0.0,0.0,0.0,0.0,0.0933040615,0.0,0.1500541712,0.139219935,0.1539295393
0.0,0.0,0.0,0.0,0.0943967693,0.1014650027,0.0,0.0127811861,0.0642013354,0.0,0.0779153767,0.0,0.0915457729,0.0,0.0926853707,0.09300000000000001,0.0924242424,0.0,0.096048024,0.0,0.0,0.1495,0.0,0.1569048898
0.1260460251,0.12661498710000002,0.0397521941,0.0387196696,0.0,0.08698060939999999,0.0127811861,0.0,0.0546505518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754132231,0.0,0.0,0.0,0.0,0.1242331288,0.0
0.1381818182,0.1386036961,0.0,0.0,0.0,0.0976821192,0.0642013354,0.0546505518,0.0,0.000524109,0.0,0.0628865979,0.085171883,0.0,0.0,0.0,0.0,0.0,0.0903027193,0.0,0.0906282183,0.0,0.0,0.1584759801
0.1348911312,0.1353620147,0.0644654088,0.0,0.0885744235,0.0,0.0,0.0,0.000524109,0.0,0.0,0.0615141956,0.0828526481,0.0,0.0833333333,0.0,0.0,0.0838574423,0.0,0.0,0.0892857143,0.0,0.0,0.0
0.0,0.1449200619,0.0,0.0,0.0,0.1064891847,0.0779153767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808861412,0.0,0.0834621329,0.0,0.0,0.0875721028,0.0,0.0,0.0,0.0
0.1451697128,0.1455108359,0.0731958763,0.0711340206,0.0979381443,0.0,0.0,0.0,0.0628865979,0.0615141956,0.0,0.0,0.0,0.0,0.0,0.08144329900000001,0.0840206186,0.08505154640000001,0.0887055183,0.0881427072,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0915457729,0.0,0.085171883,0.0828526481,0.0,0.0,0.0,0.0035017509000000004,0.0485485485,0.0484515485,0.0,0.0489404642,0.0,0.0498701299,0.0,0.0,0.0,0.0
0.0,0.1466127401,0.0888888889,0.0888888889,0.08686868689999999,0.0890336591,0.0,0.0,0.0,0.0,0.0,0.0,0.0035017509000000004,0.0,0.0481203008,0.048024012000000005,0.050530571,0.0495199596,0.0,0.0,0.0639834881,0.1505752876,0.0,0.0
